B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
3749.0,3536.0,17.0,54.0,56.0,86.0,01113030700
3073.0,2865.0,0.0,46.0,23.0,139.0,01113030300
3254.0,3196.0,17.0,41.0,0.0,0.0,01113030800
11487.0,10738.0,68.0,290.0,209.0,182.0,01113030902
1874.0,1850.0,0.0,3.0,19.0,2.0,01113031100
6567.0,6351.0,51.0,29.0,65.0,71.0,01113030901
2399.0,2176.0,21.0,81.0,64.0,57.0,01113030500
7148.0,6743.0,46.0,16.0,55.0,288.0,01113030600
3574.0,3517.0,9.0,22.0,26.0,0.0,01113031000
2310.0,2283.0,6.0,14.0,7.0,0.0,01113030200
3412.0,3161.0,107.0,84.0,56.0,4.0,01113031200
4011.0,3981.0,0.0,0.0,5.0,25.0,01019955900
5001.0,4962.0,27.0,0.0,12.0,0.0,01019956100
4209.0,4192.0,0.0,0.0,17.0,0.0,01019956000
5427.0,5300.0,0.0,13.0,64.0,50.0,01019955800
3078.0,3060.0,0.0,10.0,8.0,0.0,01039962400
3255.0,2976.0,121.0,10.0,11.0,137.0,01089002100
5986.0,5880.0,50.0,11.0,13.0,32.0,01089010200
5967.0,5794.0,25.0,68.0,80.0,0.0,01089010401
1534.0,1524.0,0.0,0.0,10.0,0.0,01039962600
3036.0,2978.0,0.0,6.0,38.0,14.0,01039963000
4060.0,4049.0,0.0,0.0,0.0,11.0,01039961700
4111.0,3816.0,49.0,63.0,105.0,78.0,01089000301
7474.0,7278.0,0.0,64.0,117.0,15.0,01089010301
9957.0,9753.0,0.0,54.0,31.0,119.0,01089010800
7477.0,6466.0,106.0,99.0,332.0,474.0,01089011022
12704.0,11660.0,161.0,247.0,518.0,118.0,01089011200
6705.0,6276.0,3.0,114.0,216.0,96.0,01089011300
4314.0,4148.0,0.0,93.0,73.0,0.0,01089000901
2781.0,2502.0,0.0,44.0,89.0,146.0,01089001000
3963.0,3616.0,11.0,70.0,112.0,154.0,01089002721
2380.0,2129.0,0.0,54.0,159.0,38.0,01089002912
9515.0,9308.0,23.0,66.0,90.0,28.0,01089010100
